drugbank_id,id
DB00342,2723
DB02383,2727
DB04898,2730
DB15076,2749
DB04958,2755
DB13783,2799
DB06594,2800
DB13648,2801
DB01436,2802
DB06288,2804
DB00276,2805
DB00029,2806
DB01435,2807
DB12783,2811
DB12319,2812
DB09084,2813
DB06698,2815
DB01393,2816
DB11591,2817
DB01558,2819
DB06719,2821
DB05812,2823
DB02329,2826
DB01282,2827
DB00389,2828
DB04846,2830
DB01340,2832
DB09064,2833
DB13511,2834
DB01407,2835
DB06470,2836
DB13003,2839
DB04839,2840
DB04884,2841
DB04840,2842
DB09214,2843
DB08801,2846
DB01418,2847
DB09059,2848
DB01616,2850
DB06736,2853
DB00568,2854
DB01559,2855
DB13269,2856
DB01070,2857
DB00805,2859
DB11703,2861
DB05018,2873
DB00089,2893
DB00113,2991
DB00694,3024
DB12218,3025
DB06302,3026
DB11925,3027
DB06292,3028
DB09083,3029
DB00863,374
DB00683,3030
DB06756,3031
DB11640,3032
DB01597,3033
DB14568,3039
DB13125,3040
DB11855,3042
DB11859,3046
DB12130,3048
DB12147,3050
DB14583,3058
DB12483,3063
DB11963,2150
DB15189,3066
DB16239,3067
DB14924,3068
DB15435,3069
DB15151,3071
DB06119,3073
DB14975,3074
DB12808,3076
DB12281,3077
DB11986,3081
DB15444,3082
DB15035,3083
DB06688,3087
DB12139,3091
DB11936,3092
DB15233,3093
DB06751,3100
DB12561,3101
DB18634,3102
DB01065,3104
DB05611,3106
DB04942,3107
DB12412,3109
DB13036,3110
DB01171,3112
DB01184,3113
DB04818,3117
DB00670,3118
DB04573,3119
DB11950,3124
DB12417,3126
DB15212,2110
DB16159,3127
DB01408,3128
DB11783,3129
DB11614,3132
DB09223,3134
DB06548,3135
DB09245,3136
DB15293,3139
DB09212,3140
DB05266,3141
DB11738,3142
DB12092,3143
DB01411,3144
DB12523,3145
DB08911,3148
DB01685,3149
DB06202,3150
DB15102,3154
DB12625,3156
DB12303,3157
DB05262,3159
DB14840,3160
DB06281,3162
DB14890,3163
DB12687,3164
DB16267,3165
DB12017,3167
DB15694,3169
DB15685,3171
DB16133,3174
DB00391,3179
DB14783,3180
DB11774,3185
DB14713,3186
DB04931,3187
DB09262,3189
DB12255,3190
DB06735,3198
DB09230,3199
DB09227,3200
DB16226,3202
DB16261,3203
DB13914,3204
DB11729,3205
DB15822,3207
DB14985,3208
DB14896,3220
DB01054,3225
DB09238,3227
DB06712,3228
DB09232,3229
DB12212,3231
DB11632,3233
DB15071,3236
DB04852,3239
DB04924,3241
DB09028,3242
DB12694,3262
DB12036,3266
DB11873,3269
DB16343,3270
DB16255,3271
DB15168,3272
DB12101,3274
DB09570,3280
DB16063,3281
DB16987,3282
DB16126,3284
DB16300,3285
DB12764,3286
DB06580,3288
DB12341,3289
DB05104,3290
DB11813,3292
DB11938,3293
DB15295,1497
DB12451,3294
DB06477,3296
DB12476,3297
DB14875,3298
DB12096,3314
DB14941,3318
DB14810,3326
DB17129,3328
DB12280,3330
DB16200,3332
DB05448,3334
DB15669,3343
DB13000,3347
DB12689,3348
DB06527,3349
DB05095,3350
DB16690,3351
DB12895,3353
DB11953,3355
DB05943,3356
DB12059,3357
DB15055,3358
DB12929,3362
DB16296,3363
DB15291,3367
DB14849,3369
DB12666,3387
DB15456,3389
DB01425,3391
DB14790,3397
DB16242,3398
DB12137,3400
DB13029,3403
DB11681,3405
DB03849,3406
DB05298,3407
DB16047,3408
DB06673,3409
DB15031,3411
DB15299,3414
DB05016,3415
DB15080,3416
DB15170,3417
DB13478,3420
DB14785,3422
DB05416,3424
DB05187,3425
DB17506,3429
DB14801,3433
DB13053,3434
DB15406,3437
DB12730,3440
DB01873,3442
DB05297,3445
DB14813,3446
DB17385,3450
DB16138,3451
DB06159,3452
DB16076,3456
DB05010,3460
DB12459,3470
DB16640,3473
DB06642,3474
DB11737,3476
DB12359,3478
DB17999,3479
DB14948,3480
DB14942,3481
DB12230,3482
DB15205,3483
DB06586,3485
DB13025,3490
DB12579,3493
DB05482,3497
DB04889,3498
DB15327,3501
DB12185,3502
DB12285,3505
DB11684,3506
DB16193,3510
DB13312,3511
DB06604,3512
DB11698,3513
DB06191,3515
DB15275,3516
DB09279,3517
DB12237,3518
DB12524,3520
DB15670,3521
DB05964,3523
DB06156,3524
DB15059,3526
DB12627,3527
DB15358,3528
DB00058,3530
DB16079,3532
DB12442,3534
DB11902,3535
DB04856,3536
DB12836,3540
DB11871,3545
DB11993,3546
DB06154,3548
DB06040,3549
DB06345,3569
DB16217,3570
DB13012,3573
DB16321,3574
DB18954,3575
DB12239,3577
DB16036,3581
DB06188,3583
DB12345,3585
DB13781,3588
DB11815,3589
DB11699,3592
DB12565,3594
DB11906,3595
DB11704,3596
DB06306,3597
DB14870,3599
DB12120,3600
DB01366,3603
DB01297,3604
DB14770,3605
DB06635,3610
DB14769,3612
DB15149,3613
DB14899,3615
DB03010,3616
DB06556,3617
DB15219,3618
DB11940,3619
DB12248,3620
DB14829,3621
DB06660,3624
DB12433,3625
DB15297,3629
DB04873,3631
DB16266,3632
DB16353,3633
DB16098,3635
DB14806,3640
DB15123,3643
DB06070,3649
DB16048,1895
DB06083,3650
DB02712,3651
DB11671,3658
DB06157,3660
DB09120,3662
DB18761,3663
DB01198,3664
DB15446,3670
DB11693,3673
DB16657,3674
DB15569,3676
DB19210,3677
DB12806,3683
DB12805,3687
DB15401,3688
DB05501,3689
DB18806,3695
DB17549,3697
DB17568,3704
DB12235,3710
DB06283,3712
DB09257,3713
DB15463,3715
DB12903,3716
DB18865,3722
DB19041,3723
DB00503,3734
DB16040,3737
DB19218,3740
DB16254,3741
DB04982,3743
DB14774,3745
DB13087,3746
DB18786,3747
DB08329,3748
DB15010,3749
DB12725,3753
DB12289,3754
DB12022,3768
DB05796,3769
DB11971,3772
DB12325,3774
DB12681,3782
DB15357,3787
DB05607,3788
DB15310,3792
DB18479,3793
DB06730,3794
DB12617,3799
DB13165,3801
DB08162,3802
DB16703,3803
DB12440,3811
DB09018,3812
DB13327,3813
DB12163,3814
DB15009,3818
DB14894,3820
DB16130,3826
DB19023,3830
DB15568,3832
DB06506,3837
DB11217,3838
DB11765,3840
DB16346,3843
DB15385,3844
DB05660,3858
DB16650,3861
DB01273,3866
DB04977,3868
DB17097,3872
DB15021,3880
DB16045,3882
DB19125,3883
DB12206,3888
DB17472,3890
DB11675,3894
DB16330,3897
DB12009,3898
DB12998,3906
DB09256,3909
DB15418,3910
DB03695,3912
DB06515,3913
DB12731,3916
DB06725,3918
DB04953,3923
DB04862,3925
DB14828,3930
DB00380,3933
DB09167,3934
DB11964,3935
DB04880,3943
DB12125,3951
DB01452,3952
DB12384,3955
DB01619,3958
DB08490,3966
DB12275,3967
DB04851,3969
DB12353,3970
DB06530,3975
DB01954,3977
DB04944,3979
DB01120,3981
DB05667,3983
DB12827,3993
DB15256,3994
DB18817,3996
DB18794,3999
DB12757,4011
DB13020,4012
DB12513,4013
DB16331,4015
DB12005,4017
DB19170,4018
DB18968,4019
DB12919,4020
DB12888,4025
DB16216,4030
DB12823,4033
DB12971,4039
DB16233,4040
DB06140,4041
DB01252,4049
DB15490,4051
DB05708,4058
DB12515,4060
DB14966,4071
DB19209,4079
DB12798,4081
DB19191,4086
DB06721,4087
DB01071,4088
DB04842,4090
